Country,GDP Per Capita (USD),Population,Males Per 100 Females,% Under 18,% 18 And Over,Incarcerated Per 100k,Firepower Index,Corporation Tax (%)
Afghanistan,357.26,40578842,101.85,47.91,52.09,45,2.7342,20.0
Albania,7756.96,2451636,97.83,22.58,77.42,168,1.7258,15.0
Algeria,4960.3,45477389,104.2,35.88,64.12,217,0.4849,19.0
American Samoa,18017.46,48342,102.17,33.25,66.75,538,N/A,34.0
Andorra,42414.05,79705,104.83,18.45,81.55,60,N/A,10.0
Angola,3682.11,35635029,97.88,48.96,51.04,68,1.1045,30.0
Antigua and Barbuda,20105.2,92840,90.75,24.23,75.77,400,N/A,25.0
Argentina,13962.19,45407904,98.45,27.97,72.03,254,0.5983,35.0
Armenia,6571.97,2969200,86.23,25.24,74.76,83,2.2016,18.0
Aruba,30976.0,107310,89.42,22.89,77.11,288,N/A,25.0
Australia,65169.52,26018721,98.48,23.41,76.59,157,0.3208,30.0
Austria,52336.77,9041851,96.89,19.62,80.38,101,1.3759,23.0
Azerbaijan,7770.59,10141756,95.97,28.37,71.63,244,1.1991,20.0
"Bahamas, The",34957.16,397538,91.77,24.35,75.65,409,N/A,0.0
Bahrain,30470.52,1524693,162.97,25.27,74.73,234,1.6731,0.0
Bangladesh,2716.49,169384897,96.99,33.98,66.02,50,0.6517,32.5
Barbados,24387.04,282318,92.18,23.05,76.95,258,N/A,5.5
Belarus,7994.65,9228071,87.25,22.28,77.72,345,1.4072,20.0
Belgium,50605.75,11680210,97.18,21.63,78.37,104,1.2201,25.0
Belize,7068.22,402733,101.55,33.03,66.97,289,4.3602,25.0
Benin,1266.43,13759501,100.49,46.51,53.49,138,3.8963,35.0
Bermuda,121613.94,64749,96.11,19.39,80.61,200,N/A,0.0
Bhutan,3711.33,780914,115.29,27.78,72.22,145,5.7991,26.0
Bolivia,4219.46,12077154,100.5,35.62,64.38,209,1.8301,29.0
Bosnia and Herzegovina,7655.59,3204802,90.69,18.62,81.38,79,3.1291,10.0
Botswana,8328.71,2439892,99.68,37.52,62.48,161,2.9993,22.0
Brazil,9281.33,210306415,96.99,25.77,74.23,392,0.2374,40.0
Brunei Darussalam,36632.93,455370,113.58,26.99,73.01,186,N/A,1.0
Bulgaria,13999.19,6465097,93.84,19.64,80.36,99,1.2522,10.0
Burkina Faso,827.33,22509038,99.24,47.32,52.68,39,2.9213,27.5
Burundi,302.99,13321097,98.68,50.11,49.89,103,N/A,35.0
Cabo Verde,4323.31,519741,103.56,32.49,67.51,N/A,N/A,N/A
Cambodia,2325.03,17201724,95.92,35.56,64.44,257,1.8434,20.0
Cameroon,1604.88,27632771,99.36,46.47,53.53,116,2.1689,31.5
Canada,56256.8,38935934,98.69,20.79,79.21,90,0.5269,26.5
Cayman Islands,93030.71,71591,100.97,22.4,77.6,277,N/A,0.0
Central African Republic,467.36,5098039,92.98,53.11,46.89,52,4.2381,30.0
Chad,966.04,18455316,100.68,51.45,48.55,59,1.8594,20.0
Chile,15405.62,19553036,98.81,23.27,76.73,306,0.8704,25.0
China,12970.61,1412175000,104.15,22.65,77.35,119,0.0919,25.0
Colombia,6680.45,51737944,97.44,26.56,73.44,200,0.7551,35.0
Comoros,1465.48,834188,101.19,42.34,57.66,46,N/A,35.0
"Congo, Dem. Rep.",687.74,102396968,98.45,50.18,49.82,N/A,N/A,30.0
"Congo, Rep.",2620.84,6035104,99.99,45.73,54.27,N/A,N/A,30.0
Costa Rica,13625.9,5081765,97.76,25.35,74.65,343,N/A,30.0
Cote d'Ivoire,2333.37,30395002,103.95,46.13,53.87,N/A,N/A,N/A
Croatia,18465.54,3855641,93.05,19.36,80.64,115,1.5432,18.0
Cuba,9605.28,11059820,97.55,21.15,78.85,794,1.3345,30.0
Curacao,20057.14,153321,90.68,21.08,78.92,N/A,N/A,N/A
Cyprus,33231.04,1331370,101.56,21.62,78.38,103,N/A,12.5
Czechia,28282.22,10672118,97.25,21.03,78.97,N/A,1.0313,N/A
Denmark,67781.09,5903037,98.95,21.12,78.88,69,0.8198,22.0
Djibouti,3133.26,1137096,98.36,35.25,64.75,71,N/A,25.0
Dominica,9323.66,66826,100.51,23.82,76.18,348,2.5853,25.0
Dominican Republic,10104.24,11230734,98.97,32.43,67.57,231,2.5853,27.0
Ecuador,6515.59,17823897,99.48,30.85,69.15,180,1.4479,25.0
"Egypt, Arab Rep.",4233.31,112618250,102.0,37.84,62.16,116,0.3651,22.5
El Salvador,5074.6,6280319,90.49,30.94,69.06,1659,2.9973,30.0
Equatorial Guinea,7589.3,1803545,111.97,42.38,57.62,63,N/A,35.0
Estonia,28340.38,1348840,90.32,21.28,78.72,129,2.3201,0.0
Eswatini,3894.16,1218917,96.41,38.91,61.09,243,N/A,27.5
Ethiopia,982.1,125384287,100.48,44.28,55.72,99,0.8525,30.0
Faroe Islands,67058.2,53912,107.32,25.38,74.62,23,N/A,18.0
Fiji,5414.12,919422,98.51,32.99,67.01,248,N/A,20.0
Finland,50440.56,5556106,97.75,20.14,79.86,52,0.8673,20.0
France,40988.64,68184457,94.02,21.96,78.04,115,0.1798,25.0
French Polynesia,20053.96,280378,102.52,25.88,74.12,200,N/A,25.0
Gabon,8409.21,2430747,103.41,41.51,58.49,228,3.0432,35.0
"Gambia, The",836.24,2636470,99.13,45.66,54.34,22,N/A,31.0
Georgia,6729.85,3712502,87.24,26.29,73.71,275,2.0779,0.0
Germany,50506.52,83177813,97.5,19.0,81.0,68,0.2463,30.0
Ghana,2229.89,33149152,99.83,41.32,58.68,42,2.4566,25.0
Greece,20886.52,10436882,93.92,18.88,81.12,98,0.5484,22.0
Greenland,55635.0,56661,111.41,26.37,73.63,241,N/A,25.0
Grenada,10469.39,116913,100.96,25.68,74.32,338,N/A,28.0
Guam,41833.15,165180,103.02,30.98,69.02,475,N/A,N/A
Guatemala,5358.7,17847877,98.39,37.73,62.27,123,2.1277,25.0
Guinea,1416.6,14055137,97.63,45.97,54.03,34,N/A,35.0
Guinea-Bissau,883.2,2105529,97.54,44.28,55.72,31,N/A,35.0
Guyana,17913.49,821637,95.04,34.55,65.45,271,N/A,30.0
Haiti,1760.63,11503606,98.16,37.01,62.99,63,N/A,30.0
Honduras,3003.29,10463872,101.44,36.54,63.46,189,2.2575,25.0
"Hong Kong SAR, China",48825.84,7346100,82.18,16.38,83.62,119,0.0919,25.0
Hungary,18428.03,9605074,92.18,19.74,80.26,192,1.0429,9.0
Iceland,76350.46,382003,105.03,23.7,76.3,35,3.4013,20.0
India,2347.45,1425423212,106.62,30.91,69.09,41,0.1346,15.0
Indonesia,4730.83,278830529,100.94,30.71,69.29,96,0.2582,22.0
"Iran, Islamic Rep.",4721.2,89524246,103.49,28.75,71.25,228,0.3199,25.0
Iraq,6520.73,44070551,100.58,42.31,57.69,179,0.8115,15.0
Ireland,105190.69,5212836,98.07,24.69,75.31,91,2.0661,12.5
Isle of Man,88328.55,84132,98.16,19.81,80.19,153,N/A,0.0
Israel,54949.62,9557500,98.99,32.6,67.4,217,0.2707,23.0
Italy,35653.9,59013667,95.41,17.48,82.52,105,0.2211,27.9
Jamaica,6626.48,2839144,97.97,25.41,74.59,125,N/A,33.3
Japan,34065.64,125124989,95.4,16.56,83.44,33,0.1876,29.74
Jordan,4332.25,11256263,106.77,36.97,63.03,185,1.5581,20.0
Kazakhstan,11255.34,20034609,94.77,34.62,65.38,184,1.0433,20.0
Kenya,2109.56,54252461,98.93,42.8,57.2,103,1.8588,30.0
Kiribati,2069.77,130469,93.76,39.95,60.05,113,N/A,35.0
"Korea, Rep.",34822.4,51672569,99.61,17.1,82.9,N/A,N/A,N/A
Kosovo,5290.95,1768096,96.82,27.27,72.73,99,3.8041,0.0
Kuwait,39981.77,4589643,156.77,25.46,74.54,101,1.7161,7.5
Kyrgyz Republic,1739.72,6975220,97.82,37.87,62.13,N/A,N/A,N/A
